Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Support Vector Machine,0.8957475994513031,0.5113636363636364,0.5769230769230769,0.5421686746987951,0.8537752570010635
Logistic Regression,0.8257887517146777,0.34591194968553457,0.7051282051282052,0.4641350210970464,0.8342983181692859
Gradient Boosting,0.9053497942386831,0.5957446808510638,0.358974358974359,0.448,0.8802827996376383
LDA,0.7956104252400549,0.31413612565445026,0.7692307692307693,0.44609665427509293,0.8676001417936902
AdaBoost,0.8765432098765432,0.4166666666666667,0.38461538461538464,0.4,0.8463113946984914
Decision Tree,0.823045267489712,0.24752475247524752,0.32051282051282054,0.27932960893854747,0.6018846744653197
K-Nearest Neighbors,0.5624142661179699,0.16804407713498623,0.782051282051282,0.2766439909297052,0.7009236283429832
Random Forest,0.8998628257887518,0.6190476190476191,0.16666666666666666,0.26262626262626265,0.8517271259206742
Extra Trees,0.8984910836762688,0.6,0.15384615384615385,0.24489795918367346,0.8603529087400055
Naive Bayes,0.4279835390946502,0.13704496788008566,0.8205128205128205,0.23486238532110093,0.6180334002914649
QDA,0.43072702331961593,0.1328976034858388,0.782051282051282,0.2271880819366853,0.5842490842490842
