Model,Accuracy,Precision,Recall,F1,ROC AUC
KNN,0.6021947873799726,0.19117647058823528,0.8125,0.30952380952380953,0.7491236517719568
Naive Bayes,0.4567901234567901,0.14573991031390135,0.8125,0.24714828897338403,0.6460516178736517
QDA,0.5267489711934157,0.15938303341902313,0.775,0.26439232409381663,0.6372688751926041
LDA,0.8065843621399177,0.3333333333333333,0.7625,0.46387832699619774,0.8596494607087828
Logistic Regression,0.8449931412894376,0.39215686274509803,0.75,0.5150214592274678,0.8587249614791987
SVM,0.8943758573388203,0.5161290322580645,0.6,0.5549132947976878,0.8556047765793529
AdaBoost,0.8806584362139918,0.46236559139784944,0.5375,0.49710982658959535,0.8494221879815099
Gradient Boosting,0.9053497942386831,0.6037735849056604,0.4,0.48120300751879697,0.8682395993836672
XGBoost,0.9135802469135802,0.7575757575757576,0.3125,0.4424778761061947,0.862326656394453
Decision Tree,0.821673525377229,0.23404255319148937,0.275,0.25287356321839083,0.5820300462249615
Extra Trees,0.9039780521262003,0.8125,0.1625,0.2708333333333333,0.8499614791987673
Random Forest,0.897119341563786,0.6470588235294118,0.1375,0.2268041237113402,0.8457627118644067
